Mes,Data,Marca,Modelo,Versao,Vin
1,2022-01-03,VOLKSWAGEN,NIVUS,NIVUS TSI 1.0 AUT,9BWCH6CH9NP001114
1,2022-01-03,VOLKSWAGEN,SAVEIRO,SAVEIRO 1.6,9BWJB45U8NP026044
1,2022-01-03,VOLKSWAGEN,SAVEIRO,SAVEIRO D CAB 1.6,9BWJB45U8NP023774
1,2022-01-04,BMW,118,118I HATCHBACK 1.5 AUT,WBA7K3106L7G08349
1,2022-01-04,BMW,118,118I HATCHBACK 1.5 AUT,WBA7K310XL7F36989
1,2022-01-04,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8,9BG148FK0NC432088
1,2022-01-04,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148MK0NC426471
1,2022-01-04,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148MK0NC426607
1,2022-01-04,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148MK0NC426667
1,2022-01-04,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148PK0NC431263
1,2022-01-04,CHEVROLET,COLORADO,COLORADO LTZ 4X4 2.8 AUT,9BG148MK0NC432038
1,2022-01-04,CHEVROLET,D-MAX,D MAX E5 DCAB 4X4 2.5,MPATFS86JNT000481
1,2022-01-04,CHEVROLET,N400 MAX,N400 MAX 1.5,LZWCDAGA1NC802243
1,2022-01-04,CHEVROLET,ONIX,ONIX NB PREMIER 1.0T AUT,9BGEP69K0NG121101
1,2022-01-04,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H2ND024604
1,2022-01-04,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H8ND025076
1,2022-01-04,CHEVROLET,TAHOE,TAHOE 4X4 5.3 AT,1GNSK8KD4MR444301
1,2022-01-04,CHEVROLET,TAHOE,TAHOE 4X4 5.3 AT,1GNSK8KD6MR439150
1,2022-01-04,FORD,NEW RANGER,RANGER DCAB 4X4 3.2 AUT,8AFAR23W3NJ261803
1,2022-01-04,FORD,NEW RANGER,RANGER RAPTOR 4X4 2.0 AUT,MPBUR2360NX358932
1,2022-01-04,FORD,NEW RANGER,RANGER RAPTOR 4X4 2.0 AUT,MPBUR236XNX358940
1,2022-01-04,FORD,TERRITORY,TERRITORY 1.5 AUT,LJXCU2BB3NTF05424
1,2022-01-04,FORD,TRANSIT VAN,TRANSIT 4X2 2.2,WF0YXXTTGNTA17909
1,2022-01-04,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM291823
1,2022-01-04,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM295477
1,2022-01-04,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM295584
1,2022-01-04,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM295590
1,2022-01-04,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM295729
1,2022-01-04,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM296468
1,2022-01-04,HYUNDAI,ATOS AH2,ATOS AH2 HB 1.1,MALAF51CANM167511
1,2022-01-04,HYUNDAI,GRAND I-10,GRAND I10 1.2,MALB251CANM235778
1,2022-01-04,HYUNDAI,GRAND I-10,GRAND I10 1.2,MALB251CANM235839
1,2022-01-04,HYUNDAI,GRAND I-10,GRAND I10 1.2,MALB251CANM239109
1,2022-01-04,HYUNDAI,GRAND I-10,GRAND I10 HB 1.2,MALB251CANM236104
1,2022-01-04,HYUNDAI,GRAND I-10,GRAND I10 HB 1.2,MALB251CANM236109
1,2022-01-04,HYUNDAI,GRAND I-10,GRAND I10 HB 1.2,MALB251CANM237827
1,2022-01-04,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2 MT PLUS,MALB251CANM236141
1,2022-01-04,HYUNDAI,GRAND I-10 SEDAN,GRAND I10 SDN 1.2,MALB241CANM091879
1,2022-01-04,HYUNDAI,I20 BI3,I20 BI3 1.4,MALBG513ANM098627
1,2022-01-04,HYUNDAI,SOLATI,H350 2.5,KMFAB17RPNK024523
1,2022-01-04,HYUNDAI,STARIA MB,STARIA US4 CRDI 2.2,KMJYA371ANU029346
1,2022-01-04,HYUNDAI,TUCSON NX4,TUCSON NX4 GDI 7DCT 1.6 AUT,KMHJB81BGNU100409
1,2022-01-04,HYUNDAI,VERNA,VERNA CB 1.4,LBECBACB3NW164337
1,2022-01-04,PEUGEOT,2008,2008 PURETECH 130 1.2,VR3USHNSKNJ525743
1,2022-01-04,PEUGEOT,PARTNER,PARTNER 1.6,VR3EF9HPANJ531179
1,2022-01-04,PEUGEOT,PARTNER,PARTNER 1.6,VR3EF9HPANJ531480
1,2022-01-04,PEUGEOT,PARTNER,PARTNER HDI 92 L1 1.6,VR3EF9HPANJ518966
1,2022-01-04,PEUGEOT,PARTNER,PARTNER HDI 92 L1 1.6,VR3EF9HPANJ518971
1,2022-01-04,RENAULT,KWID,KWID HB 1.0,93YRBB000NJ025902
1,2022-01-04,RENAULT,KWID,KWID HB 1.0,93YRBB002NJ109042
1,2022-01-04,TOYOTA,COROLLA,COROLLA SD CVT 2.0 AUT,9BRB43BE3N2090465
1,2022-01-04,TOYOTA,COROLLA CROSS,COROLLA CROSS CVT 2.0 AUT,9BRK4AAGXN0028242
1,2022-01-04,TOYOTA,HILUX,HI LUX D CAB 2.4,8AJJB3DD7N4234907
1,2022-01-04,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJJB3DD0N4234909
1,2022-01-04,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJJB3DDXN4234500
1,2022-01-04,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJKB3CD9N1635785
1,2022-01-04,TOYOTA,HILUX,HILUX PICKUP 4P 4X4 2.4,8AJKB3CDXN1636461
1,2022-01-04,TOYOTA,HILUX,NEW HILUX DX 4X4 2.4,8AJDB3CD5N1316991
1,2022-01-04,TOYOTA,RUSH,NEW RUSH XLI 1.5,MHKE8FE20NK013645
1,2022-01-04,TOYOTA,YARIS,NEW YARIS 1.5,MR2B29F34N1235570
1,2022-01-04,TOYOTA,YARIS,NEW YARIS GLI 1.5,MR2B29F33N1234264
1,2022-01-04,TOYOTA,YARIS,NEW YARIS GLI 1.5,MR2B29F37N1233747
1,2022-01-04,TOYOTA,YARIS,NEW YARIS GLI 1.5 AUT,MR2B29F31N1233100
1,2022-01-04,TOYOTA,YARIS,YARIS HB OTTO 1.5,MR2K29F39N1234608
1,2022-01-04,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F30N1232570
1,2022-01-04,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F30N1233864
1,2022-01-04,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F31N1234067
1,2022-01-04,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F32N1233770
1,2022-01-04,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F33N1233793
1,2022-01-04,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F33N1234295
1,2022-01-04,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F35N1233035
1,2022-01-04,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F37N1236373
1,2022-01-04,VOLKSWAGEN,AMAROK,NUEVA AMAROK V6 4X4 3.0 AUT,WV1ZZZ2HZMA036087
1,2022-01-04,VOLKSWAGEN,NIVUS,NIVUS TSI 1.0 AUT,9BWCH6CH1NP001365
1,2022-01-05,CHEVROLET,CAPTIVA,CAPTIVA 1.5,LZWADAGA4NB024372
1,2022-01-05,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8,9BG148FK0NC431617
1,2022-01-05,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148PK0NC431073
1,2022-01-05,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148PK0NC431744
1,2022-01-05,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148PK0NC431976
1,2022-01-05,CHEVROLET,COLORADO,COLORADO DCAB 4X4 2.8 AT,9BG148PK0NC432053
1,2022-01-05,CHEVROLET,D-MAX,D MAX 2.5,MPATFS86JNT000366
1,2022-01-05,CHEVROLET,D-MAX,D MAX E5 DCAB 4X4 2.5,MPATFS86JNT000411
1,2022-01-05,CHEVROLET,D-MAX,D MAX E5 DCAB 4X4 2.5,MPATFS86JNT000473
1,2022-01-05,CHEVROLET,D-MAX,D MAX E5 DCAB 4X4 2.5,MPATFS86JNT000538
1,2022-01-05,CHEVROLET,D-MAX,D MAX E5 DCAB 4X4 2.5,MPATFS86JNT000549
1,2022-01-05,CHEVROLET,ONIX,ONIX II LTZ 1.0,9BGEN69K0NG120716
1,2022-01-05,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H1ND024979
1,2022-01-05,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H1ND025209
1,2022-01-05,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H6ND024850
1,2022-01-05,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H7ND024713
1,2022-01-05,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H8ND024462
1,2022-01-05,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H8ND024686
1,2022-01-05,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H9ND024986
1,2022-01-05,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H9ND025202
1,2022-01-05,CHEVROLET,SILVERADO,SILVERADO CC LTZ 4X4 3.0 AUT,3GCUY9ET3MG457324
1,2022-01-05,CHEVROLET,SILVERADO,SILVERADO DCAB 4X4 5.3 AT,3GCPY9ED3MG454297
1,2022-01-05,CHEVROLET,SILVERADO,SILVERADO DCAB 4X4 5.3 AT,3GCPY9EDXMG463305
1,2022-01-05,CHEVROLET,SPIN,SPIN 1.8 AUT,9BGJK7560NB135052
1,2022-01-05,CHEVROLET,SUBURBAN,SUBURBAN 4X4 5.3L AUT,1GNSK9KD1MR345926
1,2022-01-05,CHEVROLET,SUBURBAN,SUBURBAN 4X4 5.3L AUT,1GNSK9KD5MR359134
1,2022-01-05,FORD,BRONCO SPORT,BRONCO SPORT 1.5,3FMCR9B68MRB16914
1,2022-01-05,FORD,F-150,F150 PLATINIUM 4X4 3.5 AT,1FTFW1E87MFB22578
1,2022-01-05,FORD,F-150,F150 PLATINIUM 4X4 3.5 AT,1FTFW1E88MFB22539
1,2022-01-05,FORD,NEW RANGER,RANGER DCAB XLT 4X4 3.2,8AFAR23W7NJ261044
1,2022-01-05,FORD,TERRITORY,NEW TERRITORY TITANIUM 1.5 AUT,LJXCU2BB7NTF05622
1,2022-01-05,FORD,TRANSIT VAN,TRANSIT 460E 2.2,WF0HXXTTGMTR81035
1,2022-01-05,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BANM303588
1,2022-01-05,HYUNDAI,SANTA FE TM,SANTA FE 2.5 AUT,KMHS281KBMU406399
1,2022-01-05,HYUNDAI,SANTA FE TM,SANTA FE 2.5 AUT,KMHS281KBMU406479
1,2022-01-05,HYUNDAI,SOLATI,H350 2.5,KMFAB17RPNK024489
1,2022-01-05,HYUNDAI,SOLATI,H350 5P 2.5,KMFAB27RPNK024386
1,2022-01-05,HYUNDAI,TUCSON NX4,TUCSON NX4 GDI 7DCT 1.6 AUT,KMHJB81BGNU099997
1,2022-01-05,PEUGEOT,2008,2008 BLUE HDI 130 EAT8 1.5 AUT,VR3UDYHZSNJ525961
1,2022-01-05,PEUGEOT,3008,3008 BLUE HDI 130 EAT8 1.5 AUT,VF3MCYHZUNS006917
1,2022-01-05,PEUGEOT,308,308 THP 165 HATCH BACK 1.6 AUT,VF3L35GYXNS005502
1,2022-01-05,PEUGEOT,EXPERT,EXPERT 2.0,VF3VFAHXGNZ002490
1,2022-01-05,PEUGEOT,LANDTREK,LANDTREK 4X4 1.9,VR3FDAHDLN3003005
1,2022-01-05,PEUGEOT,RIFTER,RIFTER PURETECH 130 1.2 AUT,VR3ERHNS3NJ524679
1,2022-01-05,RENAULT,ARKANA,ARKANA 1.3 AUT,VF1RJL001NC258084
1,2022-01-05,RENAULT,ARKANA,ARKANA 1.3 AUT,VF1RJL002NC269840
1,2022-01-05,RENAULT,SYMBOL,SYMBOL 1.6,9FB4SR9V5NM937523
1,2022-01-05,TOYOTA,4RUNNER,4RUNNER 4X4 4.0 AUT,JTEBU4JR8N5991438
1,2022-01-05,TOYOTA,COROLLA,COROLLA SD 1.6,9BRBE3BE9N4001290
1,2022-01-05,TOYOTA,COROLLA,COROLLA SD 2.0,9BRB43BE2N2088948
1,2022-01-05,TOYOTA,FORTUNER,FORTUNER 4X4 5P 2.8 AUT,8AJBA3FS2N0307983
1,2022-01-05,TOYOTA,FORTUNER,FORTUNER 4X4 5P 2.8 AUT,8AJBA3FS9N0307950
1,2022-01-05,TOYOTA,FORTUNER,FORTUNER SRV 2.7 AUT,8AJCX3GS8N0130776
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD0N3909270
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD0N3909382
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD1N3909407
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD2N3909268
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD2N3909402
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD3N3909389
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD8N3909405
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD9N3909381
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJCB3DD9N3909400
1,2022-01-05,TOYOTA,HILUX,HILUX DOBLE CABINA 2.4,8AJJB3DD2N4234622
1,2022-01-05,TOYOTA,HILUX,NEW HILUX 2.4,8AJCB3DD0N3909317
1,2022-01-05,TOYOTA,RUSH,RUSH 1.5 MT,MHKE8FE20NK013680
1,2022-01-05,TOYOTA,YARIS,NEW YARIS SEDAN GLI 1.5,MR2B29F3XN1234164
1,2022-01-05,TOYOTA,YARIS,YARIS HB 1.5 AUT,MR2K29F3XN1230938
1,2022-01-05,TOYOTA,YARIS,YARIS SEDAN 1.5 AUT,MR2B29F30N1233279
1,2022-01-05,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F30N1235971
1,2022-01-05,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F31N1233761
1,2022-01-05,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F32N1234014
1,2022-01-05,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F34N1233317
1,2022-01-05,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F36N1234873
1,2022-01-05,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F37N1234249
1,2022-01-05,TOYOTA,YARIS,YARIS SEDAN OTTO 1.5,MR2B29F3XN1234942
1,2022-01-06,CHEVROLET,COLORADO,COLORADO 2.8,9BG148FK0NC431280
1,2022-01-06,CHEVROLET,ONIX,ONIX II RS 1.0,9BGED48K0NG121465
1,2022-01-06,CHEVROLET,SAIL,SAIL 1.5,LSGHD52H4ND024569
1,2022-01-06,CHEVROLET,SAIL,SAIL 1.5,LSGHD52HXND024527
1,2022-01-06,CHEVROLET,SILVERADO,SILVERADO CC DCAB 4X4 5.3 AUT,3GCPY9ED1MG460504
1,2022-01-06,CHEVROLET,SILVERADO,SILVERADO CC DCAB 4X4 5.3 AUT,3GCPY9ED3MG459435
1,2022-01-06,CHEVROLET,SILVERADO,SILVERADO CC LTZ 4X4 3.0 AUT,3GCUY9ET9MG452080
1,2022-01-06,FORD,BRONCO SPORT,BRONCO SPORT 1.5,3FMCR9B65MRB11248
1,2022-01-06,FORD,F-150,F 150 LARIAT SPORT 4X4 5.0,1FTFW1E53MFC13790
1,2022-01-06,FORD,F-150,F150 LARIAT SPORT 4X4 5.0L AUT,1FTFW1E52MFC13781
1,2022-01-06,FORD,NEW ESCAPE,ESCAPE 2.5,1FMCU9DZ1MUA84175
1,2022-01-06,FORD,TERRITORY,TERRITORY TITANIUM 1.5 AUT,LJXCU2BB0NTF05428
1,2022-01-06,FORD,TRANSIT VAN,TRANSIT 4X2 2.2,WF0YXXTTGNTA17911
1,2022-01-06,FORD,TRANSIT VAN,TRANSIT 4X2 2.2,WF0YXXTTGNTA17914
1,2022-01-06,FORD,TRANSIT VAN,TRANSIT CUSTOM 2.2,WF0YXXTTGNTA21994
1,2022-01-06,FORD,TRANSIT VAN,TRANSITBUS 460E 2.2L PUMA,WF0HXXTTGMTP77387
1,2022-01-06,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM295567
1,2022-01-06,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM295855
1,2022-01-06,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM296467
1,2022-01-06,HYUNDAI,ACCENT HCI,ACCENT HCI 1.4,MALC741BAMM296980
1,2022-01-06,HYUNDAI,ACCENT HCI,ACCENT HCI 1.6 AUT,MALC741CBNM297985
1,2022-01-06,HYUNDAI,ATOS AH2,ATOS 1.1,MALAF51CANM163922
1,2022-01-06,HYUNDAI,GRAND I-10,GRAND I10 1.2,MALB241CANM092062
1,2022-01-06,HYUNDAI,GRAND I-10,GRAND I10 1.2,MALB241CANM092064
1,2022-01-06,HYUNDAI,GRAND I-10,GRAND I10 1.2,MALB251CANM227823
1,2022-01-06,HYUNDAI,GRAND I-10,GRAND I10 HB 1.2,MALB251CANM239576
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 1.2,MALB241CANM091866
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 1.2,MALB241CANM091897
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM227776
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM235854
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM236106
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM236460
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM236499
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM236507
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM239091
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM239577
1,2022-01-06,HYUNDAI,GRAND I-10 AI3 HB 1.2,GRAND I-10 AI3 HB 1.2,MALB251CANM239783
1,2022-01-06,HYUNDAI,I20 BI3,I20 BI3 1.4,MALBG513ANM098897
1,2022-01-06,HYUNDAI,I20 BI3,I20 BI3 1.4,MALBG513ANM098920
1,2022-01-06,HYUNDAI,PORTER,PORTER II DOHC 2.5,KMFZCX7KAMU916197
1,2022-01-06,HYUNDAI,PORTER,PORTER II DOHC 2.5,KMFZCX7KAMU916466
1,2022-01-06,HYUNDAI,PORTER,PORTER II DOHC 2.5,KMFZCX7KAMU916830
1,2022-01-06,HYUNDAI,PORTER,PORTER II HI SUPER DOHC 2.5,KMFZCX7KAMU917434
1,2022-01-06,HYUNDAI,PORTER,PORTER II HI SUPER DOHC 2.5,KMFZCX7KAMU917484
1,2022-01-06,HYUNDAI,PORTER,PORTER II HI SUPER DOHC 2.5,KMFZCX7KAMU917621
